Timestamp,Name,Age,Interest,Features_Tried,Satisfaction,Most_Valuable,Most_Trustworthy,Regular_Use,Improvements,Comments
2026/02/27 07:00:00 PM GMT+5:30,Deepika Nair,26-30,Very interested,Face Reading;Daily Horoscope,7,Face Reading,Face Reading,"Yes, definitely","No suggestions, all good",Impressed by the AI astrologer chat
2026/02/28 05:00:00 AM GMT+5:30,Manju Agarwal,36+,Not really interested,Daily Horoscope,8,Daily Horoscope,Daily Horoscope,Maybe occasionally,Add yearly horoscope,"Very impressive app, first time I am using AI based astrology"
2026/02/28 05:00:00 PM GMT+5:30,Gaurav Malhotra,26-30,Somewhat interested,Face Reading;Birth Chart;Daily Horoscope,6,Birth Chart,Face Reading,Maybe occasionally,"Very good app, keep improving",
2026/02/28 11:00:00 PM GMT+5:30,Kamla Devi,36+,Somewhat interested,Daily Horoscope;AI Chatbot,5,Daily Horoscope,Face Reading,No,"App is slow sometimes, improve speed","Quite accurate predictions, I was surprised"
2026/03/01 02:00:00 PM GMT+5:30,Suresh Nambiar,26-30,Very interested,Face Reading;Daily Horoscope,8,Face Reading,Face Reading,"Yes, definitely",Please add Bengali language,The birth chart feature is excellent
2026/03/01 09:00:00 PM GMT+5:30,Mansi Sinha,18-25,Somewhat interested,Face Reading,6,Face Reading,Birth Chart,Maybe occasionally,Include vastu tips as well,Love the Vedic approach
2026/03/02 08:00:00 AM GMT+5:30,Savita Rai,36+,Very interested,Face Reading;Birth Chart;AI Chatbot;Daily Horoscope,8,Birth Chart,Birth Chart,"Yes, definitely",Add compatibility check feature,The app is intuitive and easy to use
2026/03/02 08:00:00 PM GMT+5:30,Ravi Shankar,36+,Not really interested,AI Chatbot,5,AI Chatbot,Birth Chart,Maybe occasionally,Would be great to have voice output,"Good initiative, keep it up"
2026/03/03 03:00:00 AM GMT+5:30,Anita Saha,36+,Very interested,Face Reading;Birth Chart;AI Chatbot;Daily Horoscope,9,Birth Chart,Birth Chart,Maybe occasionally,Add nakshatra details in birth chart,"Found it through a friend, quite good"
2026/03/03 06:00:00 PM GMT+5:30,Pradeep Nair,36+,Not really interested,Birth Chart;Daily Horoscope,7,Birth Chart,Face Reading,Maybe occasionally,"Very good app, keep improving","Good initiative, keep it up"
2026/03/04 01:00:00 AM GMT+5:30,Usha Bhat,31-35,Very interested,Daily Horoscope;AI Chatbot,10,Daily Horoscope,Birth Chart,"Yes, definitely",Include dasha predictions,
2026/03/04 06:00:00 AM GMT+5:30,Santosh Kumar,36+,Not really interested,Birth Chart;AI Chatbot,7,Birth Chart,Birth Chart,"Yes, definitely",Add remedies and gemstone suggestions,Face reading gave interesting personality insights
2026/03/04 10:00:00 PM GMT+5:30,Rajesh Kulkarni,31-35,Somewhat interested,Face Reading;Birth Chart,6,Face Reading,Birth Chart,No,Improve response time of chatbot,"Good initiative, keep it up"
2026/03/05 08:00:00 AM GMT+5:30,Meenakshi Iyer,36+,Somewhat interested,Face Reading,7,Face Reading,Birth Chart,No,Need more detailed daily predictions,Sharing with my friends and family
2026/03/05 07:00:00 PM GMT+5:30,Swati Pandey,26-30,Very interested,Daily Horoscope;AI Chatbot,7,Daily Horoscope,Birth Chart,"Yes, definitely",Better UI design needed,The birth chart feature is excellent
2026/03/06 06:00:00 AM GMT+5:30,Saraswati Mishra,36+,Very interested,Face Reading;Daily Horoscope,10,Face Reading,AI Chatbot,"Yes, definitely",Add career astrology section,
2026/03/06 11:00:00 AM GMT+5:30,Sudha Patel,36+,Somewhat interested,Face Reading;Birth Chart,8,Face Reading,Birth Chart,"Yes, definitely","App is slow sometimes, improve speed",Sharing with my friends and family
2026/03/06 10:00:00 PM GMT+5:30,Seema Patil,31-35,Very interested,Birth Chart;AI Chatbot,8,Birth Chart,Birth Chart,"Yes, definitely",Add career astrology section,"Nice concept, will recommend to family"
2026/03/07 06:00:00 AM GMT+5:30,Sunil Rajan,31-35,Not really interested,Daily Horoscope,5,Daily Horoscope,Birth Chart,"Yes, definitely",Add yearly horoscope,
2026/03/07 08:00:00 PM GMT+5:30,Ramesh Gupta,36+,Very interested,AI Chatbot,7,AI Chatbot,Birth Chart,Maybe occasionally,More zodiac sign compatibility features,
2026/03/08 05:00:00 AM GMT+5:30,Girish Mehta,36+,Very interested,Face Reading,10,Face Reading,Daily Horoscope,"Yes, definitely","No suggestions, all good","Very impressive app, first time I am using AI based astrology"
2026/03/08 05:00:00 PM GMT+5:30,Devendra Kumar,36+,Very interested,Face Reading;Birth Chart;Daily Horoscope,10,Birth Chart,Birth Chart,Maybe occasionally,Include ashtakavarga,Impressed by the AI astrologer chat
2026/03/08 10:00:00 PM GMT+5:30,Sneha Patel,18-25,Very interested,Face Reading;Birth Chart,8,Birth Chart,Face Reading,"Yes, definitely",Add Kundali matching feature,The app is intuitive and easy to use
2026/03/09 06:00:00 AM GMT+5:30,Aditya Kumar,18-25,Very interested,Daily Horoscope;AI Chatbot,10,Daily Horoscope,Birth Chart,Maybe occasionally,Add more accurate planetary positions,
2026/03/09 07:00:00 PM GMT+5:30,Rekha Doshi,31-35,Very interested,Face Reading,9,Face Reading,Birth Chart,"Yes, definitely",Include Mangal dosha checker,
2026/03/10 03:00:00 AM GMT+5:30,Dilip Shukla,31-35,Somewhat interested,Birth Chart;AI Chatbot,6,Birth Chart,Face Reading,Maybe occasionally,More personalized predictions,Very useful for daily guidance
2026/03/10 12:00:00 PM GMT+5:30,Rishabh Tiwari,18-25,Somewhat interested,Face Reading;Birth Chart,4,Birth Chart,Face Reading,"Yes, definitely",Add more traditional Vedic content,"Quite accurate predictions, I was surprised"
2026/03/11 01:00:00 AM GMT+5:30,Pankaj Sharma,31-35,Very interested,Face Reading,7,Face Reading,Face Reading,"Yes, definitely",Include marriage compatibility checker,The birth chart feature is excellent
2026/03/11 10:00:00 AM GMT+5:30,Hemant Pathak,36+,Somewhat interested,Birth Chart;AI Chatbot,8,Birth Chart,Face Reading,"Yes, definitely",Add Kannada language support,The birth chart feature is excellent
2026/03/11 09:00:00 PM GMT+5:30,Ramesh Gupta,36+,Very interested,Face Reading,7,Face Reading,Face Reading,Maybe occasionally,Include Mangal dosha checker,
2026/03/12 05:00:00 AM GMT+5:30,Ramprakash Yadav,36+,Very interested,Face Reading;Birth Chart;Daily Horoscope,9,Face Reading,Face Reading,Maybe occasionally,"Very good app, keep improving",
2026/03/12 07:00:00 PM GMT+5:30,Nikhil Chandra,26-30,Somewhat interested,Daily Horoscope,8,Daily Horoscope,Birth Chart,"Yes, definitely",Please add Bengali language,"First time using AI astrology app, satisfied"
2026/03/13 02:00:00 AM GMT+5:30,Neha Saxena,26-30,Very interested,Face Reading;Birth Chart;Daily Horoscope,10,Face Reading,Birth Chart,"Yes, definitely",Better face reading feature,Helpful during stressful times
2026/03/13 04:00:00 PM GMT+5:30,Rekha Doshi,31-35,Somewhat interested,Face Reading;Birth Chart,6,Birth Chart,Birth Chart,No,"No suggestions, all good",
2026/03/14 03:00:00 AM GMT+5:30,Prakash Yadav,31-35,Somewhat interested,Birth Chart,8,Birth Chart,Daily Horoscope,Maybe occasionally,Add notifications for important planetary events,Very useful for daily guidance
2026/03/14 08:00:00 AM GMT+5:30,Pankaj Sharma,31-35,Very interested,Birth Chart;Daily Horoscope,10,Birth Chart,Birth Chart,"Yes, definitely","Very helpful app, no complaints",
2026/03/15 12:00:00 AM GMT+5:30,Prachi Mishra,18-25,Somewhat interested,Birth Chart;AI Chatbot,6,Birth Chart,Face Reading,No,"No improvements needed, satisfied",Very useful for daily guidance
2026/03/15 05:00:00 AM GMT+5:30,Siddharth Shah,26-30,Very interested,Birth Chart,9,Birth Chart,Face Reading,"Yes, definitely",Add meditation guidance,Sharing with my friends and family
